taxon_sciname,catch_spp_tot,catch_spp_mean,catch_spp_std,usd_spp_tot,usd_kg_mean,usd_kg_std,prop_thr_catch,prop_thr_usd,cites,cms,ram_yn,taxa_group,redlist_category
Acipenser gueldenstaedtii,7,1.75,0.957427108,8328.322518,1.114268675,0.237047942,7.68e-5,3.77e-5,II,II,n,Teleost,CR
Acipenser stellatus,1.5,0.5,0.433012702,1585.325383,1.1307357,0.287507587,1.65e-5,7.18e-6,II,II,n,Teleost,CR
Acipenser sturio,74.8886,24.96286667,32.5706151,105532.6342,1.422730277,0.034935397,8.21e-4,4.78e-4,I,I/II,n,Teleost,CR
Alopias superciliosus,9724.577642,1080.508627,132.1263725,3710421.585,0.374646294,0.117612829,0.106665023,0.016802832,II,II,n,Chondrichthyan,VU
Alopias vulpinus,21805.50397,2422.833774,893.7672563,18312431.39,0.791201881,0.210313713,0.239175898,0.08292877,II,II,n,Chondrichthyan,VU
Alosa aestivalis,8.861826904,1.476971151,2.607813467,13846.47507,1.196936466,0.746418303,9.72e-5,6.27e-5,NA,NA,n,Teleost,VU
Alosa immaculata,447.5934226,49.73260252,12.63641027,416742.0949,0.902658375,0.226491977,0.004909474,0.001887238,NA,NA,n,Teleost,VU
Anguilla anguilla,8607.559544,956.3955049,292.4539735,85707484.85,9.54552007,2.249394063,0.094412896,0.388130674,II,II,n,Teleost,CR
Anguilla rostrata,2961.879402,329.0977113,73.29092774,22011244.26,7.672622453,2.605719752,0.032487677,0.099679031,NA,NA,n,Teleost,EN
Apostichopus japonicus,25569.64001,2841.071112,800.8324569,55896308.87,2.067811133,1.112841613,0.280463209,0.253129258,NA,NA,n,Invertebrate,EN
Atlantoraja cyclophora,0.341206426,0.068241285,8.37e-4,795.8058158,2.332329505,4.97e-16,3.74e-6,3.6e-6,NA,NA,n,Chondrichthyan,VU
Balistes capriscus,5864.7005,651.6333889,295.0826524,10187984.65,1.664050262,0.22165978,0.064327567,0.046136803,NA,NA,y,Teleost,VU
Bolbometopon muricatum,25.84591641,2.871768491,0.37012004,108527.6719,4.191111111,0.303333333,2.83e-4,4.91e-4,NA,NA,n,Teleost,VU
Carcharhinus albimarginatus,10687.80551,1187.533945,344.7158357,4771314.128,0.457417354,0.073079337,0.117230287,0.021607137,NA,NA,n,Chondrichthyan,VU
Carcharhinus dussumieri,1555.790675,311.158135,43.17197375,2276230.973,1.463070199,3.85e-16,0.017064849,0.010308027,NA,NA,n,Chondrichthyan,EN
Carcharhinus falciformis,70375.34225,7819.482472,1688.635802,55331873.37,0.783623536,0.21404158,0.771919131,0.250573183,II,II,n,Chondrichthyan,VU
Carcharhinus longimanus,13620.57309,1513.39701,538.0881972,11591413.56,0.848220208,0.335776034,0.149398647,0.052492302,II,NA,n,Chondrichthyan,VU
Carcharhinus obscurus,1885.124525,209.4582806,30.40552854,2879978.837,1.518759149,0.315501666,0.020677181,0.01304213,NA,II,y,Chondrichthyan,VU
Carcharhinus plumbeus,1356.826857,150.7585396,267.3065575,1040896.855,0.904486537,0.168623675,0.014882494,0.004713754,NA,NA,y,Chondrichthyan,VU
Carcharias taurus,204.579397,22.73104411,28.46394968,411393.233,4.937355738,3.774302538,0.00224395,0.001863015,NA,NA,n,Chondrichthyan,VU
Carcharodon carcharias,626.676979,69.63077544,78.09104629,1404732.716,2.085517248,0.649661536,0.00687377,0.006361403,II,I/II,n,Chondrichthyan,VU
Centrophorus lusitanicus,2175.205604,310.7436578,214.8242341,7740093.557,3.316683572,0.464847008,0.023858965,0.035051405,NA,NA,n,Chondrichthyan,VU
Centrophorus squamosus,1424.509558,158.2788398,75.3021455,2182373.177,1.470955005,0.890300994,0.015624879,0.009882987,NA,NA,y,Chondrichthyan,VU
Cetorhinus maximus,78.94852943,13.15808824,11.16430088,219793.1036,2.080859625,1.661026256,8.66e-4,9.95e-4,II,I/II,y,Chondrichthyan,VU
Coryphaenoides rupestris,13798.2688,1533.140978,987.3246202,17416106.48,1.372709394,0.602735727,0.151347721,0.078869718,NA,NA,y,Teleost,CR
Cymatoceps nasutus,46,5.111111111,1.269295518,197245.0165,4.329441396,0.505788756,5.05e-4,8.93e-4,NA,NA,n,Teleost,VU
Dalatias licha,1636.25295,181.8058834,74.06860032,1646574.627,0.972466371,0.276223615,0.017947408,0.007456596,NA,NA,y,Chondrichthyan,VU
Dentex dentex,2359.649008,262.1832231,124.3188407,41854123.08,17.12594151,5.345683669,0.025882051,0.18953851,NA,NA,n,Teleost,VU
Dipturus batis,1764.974983,196.1083314,97.09085947,2947342.806,1.712692216,0.769403544,0.019359308,0.013347191,NA,NA,n,Chondrichthyan,CR
Epinephelus fuscoguttatus,5.991986945,0.665776327,0.174474584,50623.39586,8.345444444,1.362548541,6.57e-5,2.29e-4,NA,NA,n,Teleost,VU
Epinephelus itajara,359.1415382,39.90461536,8.539854361,4070493.764,11.85527994,3.449213499,0.003939281,0.018433437,NA,NA,y,Teleost,VU
Epinephelus marginatus,3424.282774,380.4758638,275.2845896,41775732.53,11.41552334,1.8795809,0.037559595,0.189183515,NA,NA,n,Teleost,VU
Epinephelus morio,392.8589424,49.1073678,59.75324433,2011409.097,4.412497156,1.512965,0.004309113,0.009108768,NA,NA,y,Teleost,VU
Epinephelus striatus,314.4353646,34.93726273,50.02388213,2084269.947,8.37237473,2.143256908,0.003448916,0.009438722,NA,NA,n,Teleost,CR
Galeorhinus galeus,31856.42393,3539.602659,420.9321906,51733805.13,1.616311221,0.138856168,0.34942044,0.234279149,NA,NA,y,Chondrichthyan,VU
Gymnura altavela,50.44958028,12.61239507,24.72479014,70146.00678,2.338069014,0.725244715,5.53e-4,3.18e-4,NA,NA,n,Chondrichthyan,VU
Hippoglossus hippoglossus,48269.71559,5363.301732,3331.280794,470370892.6,9.02019472,1.7687245,0.529451306,2.130098344,NA,NA,y,Teleost,EN
Hyporthodus flavolimbatus,72.38613014,8.042903349,9.07481321,277921.5387,5.836283788,2.068251403,7.94e-4,0.001258582,NA,NA,n,Teleost,VU
Hyporthodus niveatus,75.1529075,8.350323055,10.34138279,408002.7981,6.10935765,0.924926303,8.24e-4,0.001847661,NA,NA,n,Teleost,VU
Isurus oxyrinchus,101470.115,11274.45722,2438.851998,289009675.4,2.907935532,0.376643149,1.112985323,1.308794912,II,II,y,Chondrichthyan,EN
Isurus paucus,2724.140867,302.6823186,75.05643184,2845468.366,1.06478841,0.173878431,0.029880017,0.012885847,II,II,n,Chondrichthyan,EN
Kajikia albida,2054.599533,228.288837,29.71456583,6022149.38,2.94307413,0.763843355,0.022536085,0.027271608,NA,NA,n,Teleost,VU
Lamna nasus,3486.231824,387.3590916,234.795282,12301235.31,3.414452613,0.554659424,0.03823909,0.055706765,II,II,y,Chondrichthyan,VU
Lethrinus mahsena,4647.455009,516.3838898,737.3359405,17296383.84,4.356739946,0.731789695,0.050976085,0.078327548,NA,NA,n,Teleost,EN
Leucoraja circularis,985.160906,109.4623229,73.65153671,2391728.171,2.368908092,0.721243115,0.010805838,0.010831062,NA,NA,y,Chondrichthyan,EN
Leucoraja fullonica,1774.476101,197.1640113,131.3005589,4187382.246,2.092412447,0.628097278,0.019463522,0.018962772,NA,NA,y,Chondrichthyan,VU
Limulus polyphemus,1412.419717,156.9355241,47.73259966,1841233.22,1.319468872,0.097747413,0.01549227,0.008338118,NA,NA,n,Invertebrate,VU
Lopholatilus chamaeleonticeps,94.4324113,10.49249014,17.60879201,515920.7314,4.886326233,0.861250495,0.001035792,0.002336373,NA,NA,y,Teleost,EN
Lutjanus campechanus,94.64568566,13.52081224,10.89999654,349677.4275,4.812952432,1.944536732,0.001038131,0.001583532,NA,NA,y,Teleost,VU
Makaira nigricans,9129.079877,1014.342209,450.6355605,17501256.15,1.879124103,0.209324799,0.100133245,0.079255322,NA,NA,y,Teleost,VU
Megalops atlanticus,962.2694174,106.9188242,37.98261565,864721.9708,0.82683996,0.388343207,0.01055475,0.003915937,NA,NA,n,Teleost,VU
Melanogrammus aeglefinus,2880091.522,320010.1691,53197.30822,4961854858,1.727006233,0.201751087,31.59057808,22.47001033,NA,NA,y,Teleost,VU
Merluccius senegalensis,41022.60968,4558.067742,2480.761013,91756429.1,2.223666904,0.936385639,0.449960685,0.415523623,NA,NA,n,Teleost,EN
Mobula mobular,78.9,11.27142857,18.51652094,41035.5,0.665857143,0.316844036,8.65e-4,1.86e-4,II,I/II,n,Chondrichthyan,EN
Mola mola,685.0996365,76.12218184,108.4490907,748977.1277,1.929581189,1.537237963,0.007514585,0.003391781,NA,NA,n,Teleost,VU
Mustelus mustelus,6462.511754,718.0568616,351.5390343,16260953.84,2.345154282,0.561895076,0.07088472,0.073638551,NA,NA,n,Chondrichthyan,VU
Mustelus schmitti,4855.855994,539.5395548,220.5144206,11853975.68,2.612332282,0.745212876,0.053261953,0.053681328,NA,NA,n,Chondrichthyan,EN
Mycteroperca interstitialis,55.328,13.832,5.12096996,163349.954,2.998,0.210724148,6.07e-4,7.4e-4,NA,NA,n,Teleost,VU
Mycteroperca microlepis,10.28205329,1.468864756,2.039451848,84788.5083,8.178181132,0.558296916,1.13e-4,3.84e-4,NA,NA,y,Teleost,VU
Nebrius ferrugineus,261.34156,29.03795111,6.922198132,167105.0917,0.641936743,0.028720854,0.002866552,7.57e-4,NA,NA,n,Chondrichthyan,VU
Nemipterus virgatus,175971.2823,19552.3647,5372.306429,362172469.9,2.095940845,0.243797386,1.930158987,1.640116322,NA,NA,n,Teleost,VU
Oxynotus centrina,498.7892447,62.34865558,66.6887002,614474.1592,1.50580635,0.339175496,0.005471021,0.002782677,NA,NA,n,Chondrichthyan,VU
Palinurus elephas,755.3513614,83.92792904,45.2937141,9729203.326,15.49212092,11.53412963,0.008285149,0.044059189,NA,NA,n,Invertebrate,VU
Pentanemus quinquarius,7288.883381,809.8759312,270.10721,81315673.79,10.52596646,2.82456544,0.079948862,0.368242136,NA,NA,n,Teleost,VU
Plectropomus areolatus,27.25780907,3.028645452,0.399863284,105764.2848,3.901888889,0.394736445,2.99e-4,4.79e-4,NA,NA,n,Teleost,VU
Plectropomus pessuliferus,46.32333861,5.147037623,0.547046483,350799.8741,7.479222222,1.890833532,5.08e-4,0.001588615,NA,NA,n,Teleost,VU
Pomatomus saltatrix,67643.50616,7515.945128,2198.874687,236026997.1,3.559161845,0.532031404,0.741954708,1.068860177,NA,NA,y,Teleost,VU
Pseudotolithus senegalensis,2009.927981,223.3253313,83.25444001,2579312.089,1.405372807,0.446399559,0.0220461,0.011680545,NA,NA,n,Teleost,EN
Pseudotolithus senegallus,96.44973362,24.11243341,17.33943648,114111.3411,1.11529898,0.14100722,0.001057919,5.17e-4,NA,NA,n,Teleost,VU
